ONTOLOGIES,version,,,,,,,,,
semantic integrated science,http://semanticscience.org/ontology/sio.owl,,,,,,,,,
,,,,smoking,causes,lung cancer,,,,
,,,,,,,,,,
,,,,,,,,,,
MAPPINGS,OBO Term Label,URI,OBO Property Label,URI ,OBO Term Label,URI,,,,
Study,investigation,http://semanticscience.org/resource/SIO_000747,has part,,assay,,,,,
Study Identifier,record identifier,http://semanticscience.org/resource/SIO_000729,is_identifier_for,http://semanticscience.org/resource/SIO_000672,investigation,http://semanticscience.org/resource/SIO_000747,,,,
Study Title,title,http://semanticscience.org/resource/SIO_000185,describes,http://semanticscience.org/resource/SIO_000563,investigation,http://semanticscience.org/resource/SIO_000747,,,,
Study Description,description,http://semanticscience.org/resource/SIO_000136,describes,http://semanticscience.org/resource/SIO_000563,investigation,http://semanticscience.org/resource/SIO_000747,,,,
Study Submission Date,date of database submission,http://semanticscience.org/resource/SIO_001083,is_attribute_of,http://semanticscience.org/resource/SIO_000011,investigation,http://semanticscience.org/resource/SIO_000747,,,,
Study Public Release Date,,,,,,,,,,
Study Release Date,start time,http://semanticscience.org/resource/SIO_000031,is_attribute_of,http://semanticscience.org/resource/SIO_000011,process,http://semanticscience.org/resource/SIO_000006,,,,
Study File,file,http://semanticscience.org/resource/SIO_000396,is part of,http://semanticscience.org/resource/SIO_000068,investigation,http://semanticscience.org/resource/SIO_000747,,,,
Study File Name,name,http://semanticscience.org/resource/SIO_000116,is_attribute_of,http://semanticscience.org/resource/SIO_000011,,file,http://semanticscience.org/resource/SIO_000396,,,
,,,,,,,,,,
Publication,publication,http://semanticscience.org/resource/SIO_000087,describes,http://semanticscience.org/resource/SIO_000563,investigation,http://semanticscience.org/resource/SIO_000747,,,,
Study PubMed ID,record identifier,http://semanticscience.org/resource/SIO_000729,is_identifier_for,http://semanticscience.org/resource/SIO_000672,publication,http://semanticscience.org/resource/SIO_000087,,,,
Study Publication DOI,record identifier,http://semanticscience.org/resource/SIO_000729,is_identifier_for,http://semanticscience.org/resource/SIO_000672,publication,http://semanticscience.org/resource/SIO_000087,,,,
Study Publication Author List,author list,,is_part_of,http://semanticscience.org/resource/SIO_000068,publication,http://semanticscience.org/resource/SIO_000087,,,,
Study Publication Title,title,http://semanticscience.org/resource/SIO_000185,describes,http://semanticscience.org/resource/SIO_000563,publication,http://semanticscience.org/resource/SIO_000087,,,,
Study Publication Status,,,,,,,,,,
,,,,,,,,,,
Study Person,academic,http://semanticscience.org/resource/SIO_000406,has role,http://semanticscience.org/resource/SIO_000228,role,Study Person Roles,,,,
Study Person Full Name,,,is_attribute_of,http://semanticscience.org/resource/SIO_000011,academic,Study Person,,,,
Study Person Last Name,last name,http://semanticscience.org/resource/SIO_000182,is_attribute_of,http://semanticscience.org/resource/SIO_000011,academic,Study Person,,,,
Study Person First Name,first name,http://semanticscience.org/resource/SIO_000181,is_attribute_of,http://semanticscience.org/resource/SIO_000011,academic,Study Person,,,,
Study Person Mid Initials,textual entity,http://semanticscience.org/resource/SIO_,is_attribute_of,http://semanticscience.org/resource/SIO_000011,academic,Study Person,,,,
